codigo | descricao | tipo | classificacao | comprimento_mm | id_materia_prima | id_fornecedor | id_maquina | estoque_minimo | estoque_seguranca | consumo_mensal | massa_kg | estoque
099/1 | SCANIA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
099/2 | PARAFUSO M 8X 30 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
099/3 | ARRUELA LISA P/ Ø8 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 2000
099/4 | ARRUELA DE PRESSÃO P/ Ø8 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
099/5 | Paraf. M8 x 60 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
099/6 | PARAFUSO ALLEN ESC. M8 X 30 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 140
099/7 | Parafuso 1/4 x 1 1/2 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 80
099/8 | Porcas 1/4" | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 300
099/9 | ARRUELA DE PRESSÃO P/ Ø1/4" | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
099/10 | PARAFUSO SEXT. M8*25*1,50 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 90
099/11 | PARAFUSO ALLEN C/CABEÇA M 8 X 20 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
099/12 | ARRUELA LISA P/ 1/4" | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 70
099/13 | PARAFUSO SEXT M14X2X60 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 60
099/30 | PARAFUSO ALLEN CAB M8 X30 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
106 | ARRUELA DE ALUMINIO P/ Ø12 MM | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1200
107 | ARRUELA DE ALUMINIO P/ Ø14 MM | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1000
108 | INSERT 1/4" | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 600
109 | ANILHA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 400
111 | PINO REG. EMP. 025 CURTO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
111/1 | PINO REG. EMP. 86mm CUMPRIDO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 90
111/2 | PORCA M12x1.5 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
112 | TOMADA AR VOLVO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
113 | PORCA MACHO M12 X 1 P/ TUBO DE COBRE 5/16" | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
114 | PORCA FEMEA M12 X 1 P/ TUBO DE COBRE 5/16" | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
115 | TUBO DE COBRE DIAM. EXT. 5/16" | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
117 | CONEXÃO ÓLEO SCANIA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 20
118 | CONEXÃO AR SCANIA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
119 | PORCA ORIGINAL MERCEDES MACH. M14 / 608 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
123/1 | EMPURRADOR SCANIA 300 MM | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
124 | EMPURRADOR VOLVO 120mm | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
124/1 | EMPURRADOR VOLVO 190mm | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
124/2 | EMPURRADOR VOLVO NL 10/12 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
125 | PARAFUSO CAB.SEXT M6 X 20 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
142 | BUCHA PARA ADAPTADOR | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 30
145 | PINO DO EMPURRADOR DO CIL. DO CAM. MEC. | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 40
145/1 | PINO EEMPURRADOR DO PEDAL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
146 | BUCHA DO PEDAL DO PIT BULL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
147 | CONEXÃO PARA MANGUEIRA DO TANQUINHO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 25
147/1 | CONEXÃO PARA MANGUEIRA DO TANQUINHO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 25
149 | BASE P/ MURINGA (ELETRONICO) | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 18
149/2 | MORINGA ESPECIAL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
151 | Reforço de fixação do servo | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
152 | ALAVANCA DO ELETRONICO ROLAMENTO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 22
152/2 | Alavanca acionamento especial | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 2
